iter	Passed	Remaining
889	19333	2389
890	19358	2368
891	19381	2346
892	19404	2325
893	19425	2303
894	19448	2281
895	19469	2259
896	19490	2237
897	19513	2216
898	19534	2194
899	19556	2172
900	19577	2151
901	19599	2129
902	19620	2107
903	19640	2085
904	19662	2063
905	19684	2042
906	19704	2020
907	19725	1998
908	19747	1976
909	19784	1956
910	19808	1935
911	19832	1913
912	19859	1892
913	19885	1871
914	19909	1849
915	19934	1828
916	19958	1806
917	19983	1784
918	20006	1763
919	20027	1741
920	20050	1719
921	20070	1697
922	20093	1676
923	20113	1654
924	20132	1632
925	20154	1610
926	20175	1588
927	20196	1566
928	20218	1545
929	20244	1523
930	20268	1502
931	20292	1480
932	20316	1458
933	20341	1437
934	20364	1415
935	20383	1393
936	20403	1371
937	20424	1349
938	20444	1328
939	20465	1306
940	20486	1284
941	20507	1262
942	20526	1240
943	20546	1218
944	20567	1197
945	20588	1175
946	20610	1153
947	20631	1131
948	20655	1110
949	20679	1088
950	20702	1066
951	20725	1044
952	20749	1023
953	20771	1001
954	20795	979
955	20818	958
956	20840	936
957	20861	914
958	20881	892
959	20902	870
960	20922	849
961	20943	827
962	20963	805
963	20984	783
964	21005	761
965	21027	740
966	21049	718
967	21070	696
968	21091	674
969	21111	652
970	21132	631
971	21153	609
972	21174	587
973	21194	565
974	21214	543
975	21237	522
976	21257	500
977	21280	478
978	21301	456
979	21323	435
980	21344	413
981	21365	391
982	21387	369
983	21407	348
984	21427	326
985	21448	304
986	21469	282
987	21491	261
988	21514	239
989	21536	217
990	21559	195
991	21581	174
992	21600	152
993	21620	130
994	21642	108
995	21663	87
996	21683	65
997	21707	43
998	21728	21
999	21750	0
